baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABCA8	507.825183952265	-0.00598249358350784	0.0526605610778139	-0.113604820401891	0.909551065965929	0.949563067968374
ABCA9	284.63821073891	-0.048931202428279	0.0403803919742991	-1.21175649952636	0.225605604437697	0.387416610469104
ABCB1	591.731420807148	-0.0758090751528339	0.057242682890079	-1.32434524947769	0.185388409003602	0.338207001730677
ABCB10	226.086838898866	-0.0785461245323352	0.0325808266812045	-2.41080821247693	0.0159172160441871	0.0614664151652868
ABCB11	1.2925056191669	-0.182127815729923	0.131555172421939	-1.38442155011422	0.166229414074235	0.314408160571926
ABCB4	14.8754383579754	0.0298105956505373	0.0602791718168133	0.494542223326009	0.620923294505824	0.758206271900263
ABCB6	61.6843385826417	0.0123302043830189	0.0748948342964122	0.164633575851433	0.869232402097165	0.925803021186453
ABCB7	205.107346992909	-0.0118455200796043	0.0288716374611037	-0.410282239639602	0.681598918877685	0.804164424827541
ABCB8	879.775233135681	-0.0163572902706364	0.028843329999232	-0.567108245513676	0.570640641181444	0.719912670346886
ABCB9	1091.75024835011	0.0851958963241894	0.0410182512096443	2.07702410053401	0.0377993348965223	0.111220652186721
ABCC1	300.029142569002	-0.0819991374941381	0.0416208518367391	-1.97014558509725	0.0488216877975839	0.132934590922219
ABCC10	627.968652808581	0.0558363277174051	0.0419739460698113	1.33026157761145	0.183432101848997	0.335698179212774
ABCC11	16.6845874479121	-0.113363447662504	0.0624566267194191	-1.81507477455963	0.0695124191541206	0.171100658480339
ABCC12	85.0821113620947	-0.065373730620347	0.0574847484272894	-1.13723609146583	0.255439603005426	0.419981383140787
ABCC2	14.2719754967602	0.188896448617447	0.0626800298612806	3.01366239032592	0.00258114862731992	0.0181224747085783
ABCC3	59.6340491873746	0.134746585337695	0.07095996855376	1.89890987952749	0.0575763261452049	0.14944665394976
ABCC4	110.974466129728	-0.149118738928448	0.061471109213546	-2.42583452350633	0.0152732325141762	0.0596575146953317
ABCC5	2307.5790495693	-0.0433050689786868	0.0332835415415512	-1.30109558577547	0.193225738539396	0.347676226637642
ABCC6	26.6603816886775	0.107792546861528	0.0550768394294004	1.95713021985767	0.0503321602733638	0.135818213139952
ABCC8	1308.45790942247	-0.0557169794959052	0.0496064728849239	-1.12317962265038	0.261361215155333	0.426249600819915
ABCC9	373.545373267226	-0.149271511639191	0.069078375037276	-2.16090073859788	0.0307030078473412	0.0963799726502936
ABCD1	126.157553264004	0.148476631173072	0.0449967472235178	3.29971920938032	0.000967816095476354	0.00954108120062611
ABCD2	281.894367890108	-0.200814849416822	0.0610114220571168	-3.291430401816	0.000996792782858844	0.009754610796006
ABCD3	692.038105288064	-0.0292346790251474	0.0386046928485477	-0.757283036542723	0.448880311583416	0.614692215554059
ABCD4	969.538816402186	0.093627292615265	0.0415404655493268	2.25388163991779	0.02420361500723	0.0823503365637528
ABCE1	600.482407567676	-0.115717384614088	0.0315029932087204	-3.67321872710357	0.000239514296220908	0.00391605874321184
ABCF1	983.614402521725	0.0542610294334883	0.0236980403419048	2.28968423762616	0.0220396277985607	0.0770670723793118
ABCF2	1101.25420467262	-0.0309263509543583	0.017655264000721	-1.7516787601191	0.0798290611151131	0.188953490601752
ABCF3	1001.93520216532	-0.0375088482332139	0.0217495717813715	-1.72457870022711	0.084603424711781	0.197098095196741
ABCG1	437.726529832289	-0.0177927700724178	0.0415904893578836	-0.427808625171781	0.668790456844233	0.79444576739339
ABCG2	628.622391492344	-0.115444843702107	0.0691091704996672	-1.67047068959774	0.0948262738207603	0.213073272603085
ABCG4	462.716520370355	-0.0621311661861908	0.045993824262278	-1.35085888557321	0.176740640716441	0.327753123260793
ABCG5	13.1951000961328	-0.0270270310709934	0.0559045556770589	-0.483449528283868	0.628776588417764	0.763867030272555
ABCG8	25.8882132326893	-0.189653434410858	0.0640003951018451	-2.96331661873428	0.00304343343512835	0.0200554162981785
ABHD1	41.9016813204184	0.167643466086268	0.0608744765805737	2.75392045243091	0.00588860787611207	0.0310364349914314
ABHD10	716.745959578657	-0.0176163456184023	0.0312649409659238	-0.563453666443913	0.57312600215519	0.72162742019027
ABHD11	349.877041690976	0.0392711611463899	0.0536334707330983	0.732213683164735	0.464038153929335	0.629037563218561
ABHD12	2265.64452635339	0.00433653177094528	0.0311045698092023	0.139417834663713	0.889119979966357	0.938106561110248
ABHD12B	140.03386698003	0.0154128241568937	0.0296424231382021	0.519958307221862	0.603092634650967	0.745042301741814
